time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
8.110000,7.929957,1.293224,0.000000,7.929957,1.293224,0.000000
8.120000,7.939957,1.293224,0.000000,7.939957,1.293224,0.000000
8.130000,7.949957,1.293224,0.000000,7.949957,1.293224,0.000000
8.140000,7.959957,1.293224,0.000000,7.959957,1.293224,0.000000
8.150000,7.969957,1.293224,0.000000,7.969957,1.293224,0.000000
8.160000,7.979957,1.293224,0.000000,7.979957,1.293224,0.000000
8.170000,7.989957,1.293224,0.000000,7.989957,1.293224,0.000000
8.180000,7.999957,1.293224,0.000000,7.999957,1.293224,0.000000
8.190000,8.009957,1.293224,0.000000,8.009957,1.293224,0.000000
8.200000,8.019957,1.293224,0.000000,8.019957,1.293224,0.000000
8.210000,8.029957,1.293224,0.000000,8.029957,1.293224,0.000000
8.220000,8.039957,1.293224,0.000000,8.039957,1.293224,0.000000
8.230000,8.049957,1.293224,0.000000,8.049957,1.293224,0.000000
8.240000,8.059957,1.293224,0.000000,8.059957,1.293224,0.000000
8.250000,8.069957,1.293224,0.000000,8.069957,1.293224,0.000000
8.260000,8.079957,1.293224,0.000000,8.079957,1.293224,0.000000
8.270000,8.089957,1.293224,0.000000,8.089957,1.293224,0.000000
8.280000,8.099957,1.293224,0.000000,8.099957,1.293224,0.000000
8.290000,8.109957,1.293224,0.000000,8.109957,1.293224,0.000000
8.300000,8.119957,1.293224,0.000000,8.119957,1.293224,0.000000
8.310000,8.129957,1.293224,0.000000,8.129957,1.293224,0.000000
8.320000,8.139957,1.293224,0.000000,8.139957,1.293224,0.000000
8.330000,8.149957,1.293224,0.000000,8.149957,1.293224,0.000000
8.340000,8.159957,1.293224,0.000000,8.159957,1.293224,0.000000
8.350000,8.169957,1.293224,0.000000,8.169957,1.293224,0.000000
8.360000,8.179957,1.293224,0.000000,8.179957,1.293224,0.000000
8.370000,8.189957,1.293224,0.000000,8.189957,1.293224,0.000000
8.380000,8.199957,1.293224,0.000000,8.199957,1.293224,0.000000
8.390000,8.209957,1.293224,0.000000,8.209957,1.293224,0.000000
8.400000,8.219957,1.293224,0.000000,8.219957,1.293224,0.000000
8.410000,8.229957,1.293224,0.000000,8.229957,1.293224,0.000000
8.420000,8.239957,1.293224,0.000000,8.239957,1.293224,0.000000
8.430000,8.249957,1.293224,0.000000,8.249957,1.293224,0.000000
8.440000,8.259957,1.293224,0.000000,8.259957,1.293224,0.000000
8.450000,8.269957,1.293224,0.000000,8.269957,1.293224,0.000000
8.460000,8.279957,1.293224,0.000000,8.279957,1.293224,0.000000
8.470000,8.289957,1.293224,0.000000,8.289957,1.293224,0.000000
8.480000,8.299957,1.293224,0.000000,8.299957,1.293224,0.000000
8.490000,8.309957,1.293224,0.000000,8.309957,1.293224,0.000000
8.500000,8.319957,1.293224,0.000000,8.319957,1.293224,0.000000
8.510000,8.329957,1.293224,0.000000,8.329957,1.293224,0.000000
8.520000,8.339957,1.293224,0.000000,8.339957,1.293224,0.000000
8.530000,8.349957,1.293224,0.000000,8.349957,1.293224,0.000000
8.540000,8.359957,1.293224,0.000000,8.359957,1.293224,0.000000
8.550000,8.369957,1.293224,0.000000,8.369957,1.293224,0.000000
8.560000,8.379957,1.293224,0.000000,8.379957,1.293224,0.000000
8.570000,8.389957,1.293224,0.000000,8.389957,1.293224,0.000000
8.580000,8.399957,1.293224,0.000000,8.399957,1.293224,0.000000
8.590000,8.409957,1.293224,0.000000,8.409957,1.293224,0.000000
8.600000,8.419957,1.293224,0.000000,8.419957,1.293224,0.000000
8.610000,8.429957,1.293224,0.000000,8.429957,1.293224,0.000000
8.620000,8.439957,1.293224,0.000000,8.439957,1.293224,0.000000
8.630000,8.449957,1.293224,0.000000,8.449957,1.293224,0.000000
8.640000,8.459957,1.293224,0.000000,8.459957,1.293224,0.000000
8.650000,8.469957,1.293224,0.000000,8.469957,1.293224,0.000000
8.660000,8.479957,1.293224,0.000000,8.479957,1.293224,0.000000
8.670000,8.489957,1.293224,0.000000,8.489957,1.293224,0.000000
8.680000,8.499957,1.293224,0.000000,8.499957,1.293224,0.000000
8.690000,8.509957,1.293224,0.000000,8.509957,1.293224,0.000000
8.700000,8.519957,1.293224,0.000000,8.519957,1.293224,0.000000
8.710000,8.529957,1.293224,0.000000,8.529957,1.293224,0.000000
8.720000,8.539957,1.293224,0.000000,8.539957,1.293224,0.000000
8.730000,8.549957,1.293224,0.000000,8.549957,1.293224,0.000000
8.740000,8.559957,1.293224,0.000000,8.559957,1.293224,0.000000
8.750000,8.569957,1.293224,0.000000,8.569957,1.293224,0.000000
8.760000,8.579957,1.293224,0.000000,8.579957,1.293224,0.000000
8.770000,8.589957,1.293224,0.000000,8.589957,1.293224,0.000000
8.780000,8.599957,1.293224,0.000000,8.599957,1.293224,0.000000
8.790000,8.609957,1.293224,0.000000,8.609957,1.293224,0.000000
8.800000,8.619957,1.293224,0.000000,8.619957,1.293224,0.000000
8.810000,8.629957,1.293224,0.000000,8.629957,1.293224,0.000000
8.820000,8.639957,1.293224,0.000000,8.639957,1.293224,0.000000
8.830000,8.649957,1.293224,0.000000,8.649957,1.293224,0.000000
8.840000,8.659957,1.293224,0.000000,8.659957,1.293224,0.000000
8.850000,8.669957,1.293224,0.000000,8.669957,1.293224,0.000000
8.860000,8.679957,1.293224,0.000000,8.679957,1.293224,0.000000
8.870000,8.689957,1.293224,0.000000,8.689957,1.293224,0.000000
8.880000,8.699957,1.293224,0.000000,8.699957,1.293224,0.000000
8.890000,8.709957,1.293224,0.000000,8.709957,1.293224,0.000000
8.900000,8.719957,1.293224,0.000000,8.719957,1.293224,0.000000
8.910000,8.729957,1.293224,0.000000,8.729957,1.293224,0.000000
8.920000,8.739957,1.293224,0.000000,8.739957,1.293224,0.000000
8.930000,8.749957,1.293224,0.000000,8.749957,1.293224,0.000000
8.940000,8.759957,1.293224,0.000000,8.759957,1.293224,0.000000
8.950000,8.769957,1.293224,0.000000,8.769957,1.293224,0.000000
8.960000,8.779957,1.293224,0.000000,8.779957,1.293224,0.000000
8.970000,8.789957,1.293224,0.000000,8.789957,1.293224,0.000000
8.980000,8.799957,1.293224,0.000000,8.799957,1.293224,0.000000
8.990000,8.809957,1.293224,0.000000,8.809957,1.293224,0.000000
9.000000,8.819957,1.293224,0.000000,8.819957,1.293224,0.000000
9.010000,8.829957,1.293224,0.000000,8.829957,1.293224,0.000000
9.020000,8.839957,1.293224,0.000000,8.839957,1.293224,0.000000
9.030000,8.849957,1.293224,0.000000,8.849957,1.293224,0.000000
9.040000,8.859957,1.293224,0.000000,8.859957,1.293224,0.000000
9.050000,8.869957,1.293224,0.000000,8.869957,1.293224,0.000000
9.060000,8.879957,1.293224,0.000000,8.879957,1.293224,0.000000
9.070000,8.889957,1.293224,0.000000,8.889957,1.293224,0.000000
9.080000,8.899957,1.293224,0.000000,8.899957,1.293224,0.000000
9.090000,8.909957,1.293224,0.000000,8.909957,1.293224,0.000000
9.100000,8.919957,1.293224,0.000000,8.919957,1.293224,0.000000
9.110000,8.929957,1.293224,0.000000,8.929957,1.293224,0.000000
9.120000,8.939957,1.293224,0.000000,8.939957,1.293224,0.000000
9.130000,8.949957,1.293224,0.000000,8.949957,1.293224,0.000000
9.140000,8.959957,1.293224,0.000000,8.959957,1.293224,0.000000
9.150000,8.969957,1.293224,0.000000,8.969957,1.293224,0.000000
9.160000,8.979957,1.293224,0.000000,8.979957,1.293224,0.000000
9.170000,8.989957,1.293224,0.000000,8.989957,1.293224,0.000000
9.180000,8.999957,1.293224,0.000000,8.999957,1.293224,0.000000
9.190000,9.009957,1.293224,0.000000,9.009957,1.293224,0.000000
9.200000,9.019957,1.293224,0.000000,9.019957,1.293224,0.000000
9.210000,9.029957,1.293224,0.000000,9.029957,1.293224,0.000000
9.220000,9.039957,1.293224,0.000000,9.039957,1.293224,0.000000
9.230000,9.049957,1.293224,0.000000,9.049957,1.293224,0.000000
9.240000,9.059957,1.293224,0.000000,9.059957,1.293224,0.000000
9.250000,9.069957,1.293224,0.000000,9.069957,1.293224,0.000000
9.260000,9.079957,1.293224,0.000000,9.079957,1.293224,0.000000
9.270000,9.089957,1.293224,0.000000,9.089957,1.293224,0.000000
9.280000,9.099957,1.293224,0.000000,9.099957,1.293224,0.000000
9.290000,9.109957,1.293224,0.000000,9.109957,1.293224,0.000000
9.300000,9.119957,1.293224,0.000000,9.119957,1.293224,0.000000
9.310000,9.129957,1.293224,0.000000,9.129957,1.293224,0.000000
9.320000,9.139957,1.293224,0.000000,9.139957,1.293224,0.000000
9.330000,9.149957,1.293224,0.000000,9.149957,1.293224,0.000000
9.340000,9.159957,1.293224,0.000000,9.159957,1.293224,0.000000
9.350000,9.169957,1.293224,0.000000,9.169957,1.293224,0.000000
9.360000,9.179957,1.293224,0.000000,9.179957,1.293224,0.000000
9.370000,9.189957,1.293224,0.000000,9.189957,1.293224,0.000000
9.380000,9.199957,1.293224,0.000000,9.199957,1.293224,0.000000
9.390000,9.209957,1.293224,0.000000,9.209957,1.293224,0.000000
9.400000,9.219957,1.293224,0.000000,9.219957,1.293224,0.000000
9.410000,9.229957,1.293224,0.000000,9.229957,1.293224,0.000000
9.420000,9.239957,1.293224,0.000000,9.239957,1.293224,0.000000
9.430000,9.249957,1.293224,0.000000,9.249957,1.293224,0.000000
9.440000,9.259957,1.293224,0.000000,9.259957,1.293224,0.000000
9.450000,9.269957,1.293224,0.000000,9.269957,1.293224,0.000000
9.460000,9.279957,1.293224,0.000000,9.279957,1.293224,0.000000
